id,name,bank_full,flood_stage,location,latitude,longitude,station_id,cbtt_id,geos_id,nws_id,nwsli_id,snotel_id,usgs_id,rating_id,elevation,drainage_area,huc,allow_negative_flow,river,display_name,sort_name,state
104,14181500,,,Niagara,44.7537777777778,-122.297444444444,14181500,BCLO,,,BCLO3,,14181500,37,1093.78,453.0,170900050401,0,North Santiam,North Santiam at Niagara,santiam|0north|008906|000453,OR
105,14184100,,,"Greens Bridge, nr Jefferson",44.70794444444445,-122.97311111111111,14184100,NSJO,,,,,14184100,,231.54,736.0,170900050604,0,North Santiam,"North Santiam at Greens Bridge, nr Jefferson",santiam|0north|009768|000736,OR
106,S_Santiam_Waterloo_merge,,,Waterloo,44.4984564280628,-122.823421371697,14187500,WTLOX,,,WTLO3,,14187500,38,370.0,640.0,170900060803,0,South Santiam,South Santiam at Waterloo,santiam|0south|009630|000640,OR
107,Green_Peter_merge,,,Green Peter Dam,44.448234,-122.550053,,,,,,,,,704.8,,170900060402,0,Middle Santiam,Middle Santiam at Green Peter Dam,santiam|0middle|009295|999999,OR
108,Santiam_Jefferson_merge,,,Jefferson,44.7147222222222,-123.01425,14189000,UJFFO,,,JFFO3,,14189000,39,199.63,1790.0,170900050604,0,Santiam,Santiam at Jefferson,santiam|9|009800|001790,OR
109,14183000,,,Mehama,44.789249999999996,-122.61880555555555,14183000,UMEHO,,,MEHO3,,14183000,40,605.78,654.35,170900050601,0,North Santiam,North Santiam at Mehama,santiam|0north|009394|000654,OR
110,14182500,,,Mehama,44.7915108355795,-122.578973849527,14182500,LSMO,,,LSMO3,,14182500,41,655.0,112.0,170900050505,0,Little North Santiam,Little North Santiam at Mehama,little north santiam|9|009345|000112,OR
111,Selway_Lowell_merge,,,Lowell,46.0866666666667,-115.513888888889,13336500,SELI,,,SELI1,,13336500,,1533.45,1915.0,170603020403,0,Selway,Selway at Lowell,selway|9|008467|001915,ID
112,SF_ALSEA_calc,,,Near Alsea (estimated),44.365121,-123.599827,,,,,,,,,300.0,49.5,171002050104,0,South Fork Alsea,SF Alsea near Alsea (calc),alsea|0south|009710|999999,OR
113,Clearwater_Stites_merge,,,Stites,46.0863888888889,-115.976666666667,13338500,STII,,,STII1,,13338500,,1327.12,1168.0,170603050903,0,South Fork Clearwater,South Fork Clearwater at Stites,clearwater|0south|008673|001168,ID
114,SF_Yamhill_McMinnville_merge,,,McMinnville,45.206944444444446,-123.18166666666667,14194150,MCMO,,14194150,MCMO3,,14194150,,61.7,528.0,170900080701,0,South Yamhill,South Yamhill at McMinnville,yamhill|0south|009938|000528,OR
115,14093000,,,Warm Springs,44.7642856309693,-121.236439317859,14093000,,,,,,14093000,,1395.0,104.0,170703060302,0,Shitike Creek,Shitike Creek at Warm Springs,shitike creek|9|008605|000104,OR
116,14092750,,,"Peters Pasture, nr Warm Springs",44.7503951638233,-121.633397087372,14092750,,,,,,14092750,,3580.0,22.9,170703060301,0,Shitike Creek,"Shitike Creek at Peters Pasture, nr Warm Springs",shitike creek|9|006420|000023,OR
117,14305500,,,Siletz,44.7151172276956,-123.887334813534,14305500,SILO,,,SILO3,,14305500,42,102.0,202.0,171002040703,0,Siletz,Siletz at Siletz,siletz|9|009898|000202,OR
118,Suislaw_Mapleton_merge,,,Mapleton,44.0623431662782,-123.883165857354,14307620,MPLO,,,MPLO3,,14307620,43,41.0,588.0,171002060803,0,Siuslaw,Siuslaw at Mapleton,siuslaw|9|009959|000588,OR
119,Smith_Crescent_City_merge,,,Crescent City,41.791476896737954,-124.07615146764506,11532500,,,,,,11532500,,82.75,614.0,180101010404,0,Smith,Smith at Crescent City,smith|9|009917|000614,CA
120,Snake_Hells_Canyon_merge,,,Hells Canyon Dam Id-or State Line,45.2544444444444,-116.696944444444,13290450,HCDI,,,,,13290450,,1435.0,73300.0,170601010102,0,Snake,Snake at Hells Canyon Dam Id-or State Line,snake|9|008565|073300,OR
121,Steamboat_merge,,,Glide,43.3498420203775,-122.728941540616,14316700,SCRO,,,SCRO3,,14316700,44,1128.55,227.0,171003010706,0,Steamboat Creek,Steamboat Creek at Glide,steamboat creek|9|008871|000227,OR
122,Sunshine_calc,,,At Sunshine confluence (estimated),44.815823,-123.764509,,,,,,,,,499.5,11.9,171002040501,0,Sunshine Creek,Sunshine Cr at confluence (calc),sunshine creek|9|009500|999999,OR
123,14188800,,,Scio,44.7120668725711,-122.77008784099,14188800,TRSO,,,,,14188800,,370.0,109.73,170900060705,0,Thomas Creek,Thomas Creek at Scio,thomas creek|9|009630|000110,OR
124,Tualatin_West_Linn_merge,,,West Linn,45.3506755926263,-122.676204437708,14207500,WSLO,,,WSLO3,,14207500,45,85.61,706.0,170900100504,0,Tualatin,Tualatin at West Linn,tualatin|9|009914|000706,OR
125,Tualatin_Farmington_merge,,32.0,Farmington,45.4498391762694,-122.951213761155,14206500,FRMO,,,FRMO3,,14206500,46,100.0,706.0,170900100404,0,Tualatin,Tualatin at Farmington,tualatin|9|009900|000706,OR
126,Umatilla_Umatilla_merge,,,Umatilla,45.90269444444444,-119.32708333333333,14033500,UMAO,,,,,14033500,,333.73,2290.0,170701031306,0,Umatilla,Umatilla at Umatilla,umatilla|9|009666|002290,OR
127,14308000,,,Tiller,42.9303985131151,-122.948387167165,14308000,TILO,,,TILO3,,14308000,47,991.8,449.0,171003020306,0,South Umpqua,South Umpqua at Tiller,umpqua|0south|009008|000449,OR
