reach_id,guidebook_id,page,run,url
5468,4,359,210,
5468,7,219,56,
5468,9,110,,
5468,10,,,https://www.oregonkayaking.net/rivers/owyhee/owyhee.html
5468,11,,,https://www.dreamflows.com/xlist-or.php#Site161
5469,2,178,130,
5469,3,228,140,
5469,4,235,139,
5469,7,53,10.3 and 10.4,
5469,9,85,,
5469,11,,,https://www.dreamflows.com/xlist-or.php#Site244
5470,4,"121,123","62,63",
5470,7,258,60,
5470,11,,,https://www.dreamflows.com/xlist-or.php#Site456
5471,2,292,,
5471,4,77,31,
5471,7,46,9,
5472,2,122,79,
5472,3,155,86,
5472,4,166,92,
5472,7,213,49.2,
5472,9,56,,
5472,11,,,https://www.dreamflows.com/xlist-or.php#Site143
5473,2,159,113,
5473,3,198,119,
5473,4,203,117,
5473,7,300,68,
5473,9,75,,
5474,10,,,https://www.oregonkayaking.net/rivers/cataracts_SFC/cataracts_SFC.html
5477,10,,,https://www.oregonkayaking.net/rivers/roaring08/roaring08.html
5478,2,294,,
5478,7,185,43,
5479,3,91,38,
5479,11,,,https://www.dreamflows.com/xlist-or.php#Site807
5480,2,192,140,
5480,3,243,150,
5480,4,252,149,
5480,7,285,66,
5480,9,91,,
5480,11,,,https://www.dreamflows.com/xlist-or.php#Site246
5481,2,53,22,
5481,3,64,22,
5481,4,60,22,
5481,7,185,43,
5481,9,28,,
5482,4,129,66,
5482,11,,,https://www.dreamflows.com/xlist-or.php#Site144
5484,2,168,120,
5484,3,209,126,
5484,4,216,125,
5484,7,226,53,
5484,9,82,,
5484,10,,,https://www.oregonkayaking.net/rivers/mollala/mollala.html
5484,11,,,https://www.dreamflows.com/xlist-or.php#Site646
5485,2,96,58,
5485,4,131,67,
5485,7,147,34,
5485,9,33,,
5485,11,,,https://www.dreamflows.com/xlist-or.php#Site144
5486,4,105,51,
5486,7,361,82,
5486,11,,,https://www.dreamflows.com/xlist-or.php#Site306
5490,11,,,https://www.dreamflows.com/xlist-or.php#Site718
5492,2,107,66,
5492,3,138,72,
5492,4,146,76,
5492,7,399,88.1,
5492,10,,,https://www.oregonkayaking.net/rivers/mmpg/mmpg.html
5493,2,27,1,
5493,3,35,2,
5493,4,28,1,
5493,7,231,54,
5493,9,18,,
5493,11,,,https://www.dreamflows.com/xlist-or.php#Site229
5495,11,,,https://www.dreamflows.com/xlist-or.php#Site456
5496,11,,,https://www.dreamflows.com/xlist-or.php#Site227
5497,10,,,https://www.oregonkayaking.net/rivers/mf_hood/mf_hood.html
5497,11,,,https://www.dreamflows.com/xlist-or.php#Site227
5498,3,190,113,
5498,4,194,111,
5498,7,290,67,
5498,10,,,https://www.oregonkayaking.net/rivers/uopal/uopal.html
5499,10,,,https://www.oregonkayaking.net/rivers/opal_gorge/opal_gorge.html
5500,7,290,67,
5500,10,,,https://www.oregonkayaking.net/rivers/head_opal/head_opal.html
5501,10,,,https://www.oregonkayaking.net/rivers/lopal/lopal.html
5503,3,235,144,
5503,4,242,143,
5503,7,274,63,
5503,10,,,https://www.oregonkayaking.net/rivers/salmonexplore/salmon.html
5506,3,178,104,
