id,reach_id,name,low,low_data_type,high,high_data_type
1344,5795,III,3000.0,flow,8000.0,flow
1345,5796,I(IV),400.0,flow,1800.0,flow
1346,5797,I-II,400.0,flow,1800.0,flow
1347,5798,IV-V,700.0,flow,2000.0,flow
1348,5799,IV+,500.0,flow,2200.0,flow
1349,5800,III+,500.0,flow,2200.0,flow
1350,5801,V,500.0,flow,2200.0,flow
1351,5802,IV,1450.0,flow,2300.0,flow
1352,5803,I-II,500.0,flow,2000.0,flow
1353,5804,III-IV,500.0,flow,1500.0,flow
1354,5805,III,400.0,flow,1000.0,flow
1355,5806,II-III(IV),400.0,flow,1500.0,flow
1356,5807,I,1000.0,flow,3000.0,flow
1357,5808,II-IV,1200.0,flow,13000.0,flow
1359,5500,IV-V,700.0,flow,2000.0,flow
1360,5498,III-IV(V),600.0,flow,4000.0,flow
1361,5499,IV-V,400.0,flow,3000.0,flow
1362,5562,II-III,750.0,flow,2500.0,flow
1363,5561,II-III,750.0,flow,2500.0,flow
1364,3930,III-IV,1000.0,flow,2500.0,flow
1365,5548,III-V,800.0,flow,3200.0,flow
1366,5812,II-III+,1000.0,flow,9000.0,flow
1367,5473,II,1000.0,flow,3000.0,flow
1368,3944,II,1000.0,flow,2000.0,flow
1369,5811,V,,,,
1370,3929,III-V,600.0,flow,3000.0,flow
1371,3934,II,900.0,flow,3000.0,flow
1372,5509,III-IV(V),3.0,gauge,5.5,gauge
1373,5461,III-IV,699.0,gauge,710.0,gauge
1374,5457,III-IV,1500.0,flow,5000.0,flow
1375,5503,II+(III),2000.0,flow,5000.0,flow
1376,5541,V+,500.0,flow,1500.0,flow
1377,567,III,200.0,flow,4000.0,flow
1378,5530,IV,1500.0,flow,4000.0,flow
1379,5455,II-III,700.0,flow,2000.0,flow
1380,5450,III-IV,400.0,flow,6000.0,flow
1381,5480,II(III),1200.0,flow,3000.0,flow
1382,3884,II(III),1500.0,flow,4000.0,flow
1383,3878,V,300.0,flow,900.0,flow
1384,5813,I+,1000.0,flow,2000.0,flow
1385,5778,II,300.0,flow,1000.0,flow
1386,5814,II-III,3.0,gauge,20.0,gauge
1387,5815,IV,450.0,flow,600.0,flow
1388,4505,I,400.0,flow,1500.0,flow
1389,5779,II-III,1500.0,flow,4000.0,flow
1390,5816,II IV,1500.0,flow,4000.0,flow
1391,1130,IV,1400.0,flow,4500.0,flow
1392,1125,III(IV),1000.0,flow,5000.0,flow
1393,1035,II-IV,400.0,flow,1500.0,flow
1395,5818,V+,,,,
1396,5474,III-IV+(V),1500.0,flow,4000.0,flow
1397,5518,V,1000.0,flow,3000.0,flow
1399,5817,IV-V,500.0,flow,3000.0,flow
1400,1086,I,300.0,flow,1000.0,flow
1401,5819,III(IV),400.0,flow,1000.0,flow
1402,5820,II(III),700.0,flow,1400.0,flow
1403,791,I,300.0,flow,3000.0,flow
1404,5823,IV-V,500.0,flow,5000.0,flow
1405,5821,IV-V,2500.0,flow,10000.0,flow
1406,5822,IV-V,,,,
1407,5824,IV-V,700.0,flow,2000.0,flow
1408,5825,IV+,2200.0,flow,3000.0,flow
1409,5826,III-IV(V),1000.0,flow,2000.0,flow
1410,5827,IV(V),,,,
1411,2533,I,400.0,flow,2000.0,flow
1412,5831,III-IV(V),1000.0,flow,4000.0,flow
1413,5833,I-II,400.0,flow,2500.0,flow
1414,5834,II-III,1500.0,flow,5000.0,flow
1415,5835,III-V,,,,
1416,5836,III+(IV),2800.0,flow,6500.0,flow
1417,5837,II(IV),,,,
1418,5838,III,500.0,flow,2000.0,flow
1419,5839,III,1000.0,flow,2500.0,flow
1420,5840,III,400.0,flow,1500.0,flow
1421,5840,III+,1500.0,flow,2500.0,flow
1422,1486,III(IV),500.0,flow,1500.0,flow
1423,1486,IV(V),1500.0,flow,3000.0,flow
1424,5046,III+(V),300.0,flow,1000.0,flow
1425,5847,IV(V),850.0,flow,8000.0,flow
1426,5789,II,1000.0,flow,3000.0,flow
1427,5789,II-III,3000.0,flow,6000.0,flow
1428,5792,III(IV),400.0,flow,1500.0,flow
1429,5792,III+(V),1500.0,flow,3000.0,flow
1430,3282,II-III+,200.0,flow,6000.0,flow
1431,3289,II-III,400.0,flow,2000.0,flow
1432,5830,II-IV+,700.0,flow,3000.0,flow
1433,5832,III-IV,3000.0,flow,8000.0,flow
1434,5841,III-IV,900.0,flow,2500.0,flow
1435,5842,IV,6000.0,flow,13000.0,flow
1436,5843,IV-V,4700.0,flow,20500.0,flow
1437,5844,IV(V),8000.0,flow,25000.0,flow
1438,5845,IV,8000.0,flow,25000.0,flow
1439,5846,III-IV,6500.0,flow,20000.0,flow
1440,5848,IV-V,,,,
1441,5849,II-III+,600.0,flow,5000.0,flow
1442,3777,III-IV,500.0,flow,1200.0,flow
1443,3777,IV(V),1200.0,flow,3000.0,flow
1444,5851,I,200.0,flow,5000.0,flow
1445,5316,III-IV,1100.0,flow,8000.0,flow
1446,5349,III-V,300.0,flow,1500.0,flow
1447,5349,IV-V+,1500.0,flow,,
1448,5350,IV-V,200.0,flow,6000.0,flow
1449,3770,III-IV,1000.0,flow,100000.0,flow
1450,3990,II-III,1000.0,flow,40000.0,flow
1451,5326,IV,700.0,flow,35000.0,flow
1452,5306,III-IV,1200.0,flow,25000.0,flow
1453,5307,IV,400.0,flow,25000.0,flow
1454,5338,II-II+,400.0,flow,25000.0,flow
1455,5343,II-III,500.0,flow,20000.0,flow
1456,3053,III-V,2500.0,flow,16000.0,flow
1457,5334,III+(V),2500.0,flow,16000.0,flow
1458,5319,IV-V,800.0,flow,3500.0,flow
1459,4012,IV,600.0,flow,3000.0,flow
1460,2428,IV-V,1000.0,flow,3500.0,flow
1461,5636,III+,1000.0,flow,3000.0,flow
1462,5621,II,800.0,flow,4000.0,flow
1463,5680,II-III,1500.0,flow,3000.0,flow
1464,5460,V+,300.0,flow,1000.0,flow
1465,5852,III-IV(V),1200.0,flow,2000.0,flow
1466,5669,IV-V,1000.0,flow,1800.0,flow
1467,5853,V,1000.0,flow,1800.0,flow
1468,5670,III+(V),450.0,flow,2500.0,flow
1469,5681,II-III+(V),300.0,flow,1500.0,flow
1470,5854,V,,gauge,,gauge
1471,5855,III+(IV),,flow,,flow
1472,5856,I-II,,flow,,flow
1473,5857,IV-V,400.0,flow,2000.0,flow
1474,5051,IV-V,80.0,flow,2000.0,flow
1476,5859,II-III(IV),,flow,,flow
1477,5860,V,2000.0,flow,4000.0,flow
1478,5861,V,1000.0,flow,10000.0,flow
1479,5862,III-IV,1300.0,flow,3000.0,flow
1480,5863,III-IV,300.0,flow,9000.0,flow
1481,5858,IV(V),400.0,flow,800.0,flow
1482,5776,II-III,,flow,,flow
1483,5850,II,500.0,flow,2000.0,flow
1484,5810,I-II,1000.0,flow,5000.0,flow
1485,4038,II(III),700.0,flow,3000.0,flow
1486,1285,III-III+,500.0,flow,800.0,flow
1487,5809,I+(II),600.0,flow,1200.0,flow
