id,reach_id,level,low,low_data_type,high,high_data_type
1034,5331,low,,,450.0,flow
1035,5331,okay,450.0,flow,2500.0,flow
1036,5331,high,2500.0,flow,,
1040,5336,low,,,500.0,flow
1041,5336,okay,500.0,flow,3000.0,flow
1042,5336,high,3000.0,flow,,
1043,5337,low,,,400.0,flow
1044,5337,okay,400.0,flow,3000.0,flow
1045,5337,high,3000.0,flow,,
1049,5342,low,,,600.0,flow
1050,5342,okay,600.0,flow,8000.0,flow
1051,5342,high,8000.0,flow,,
1055,5350,low,,,200.0,flow
1056,5350,okay,200.0,flow,6000.0,flow
1057,5350,high,6000.0,flow,,
1058,5412,low,,,250.0,flow
1059,5412,okay,250.0,flow,1000.0,flow
1060,5412,high,1000.0,flow,,
1061,5415,low,,,100.0,flow
1062,5415,okay,100.0,flow,1000.0,flow
1063,5415,high,1000.0,flow,,
1064,5416,low,,,200.0,flow
1065,5416,okay,200.0,flow,1000.0,flow
1066,5416,high,1000.0,flow,,
1067,5418,low,,,800.0,flow
1068,5418,okay,800.0,flow,1500.0,flow
1069,5418,high,1500.0,flow,,
1070,5448,low,,,600.0,flow
1071,5448,okay,600.0,flow,7000.0,flow
1072,5448,high,7000.0,flow,,
1082,5459,low,,,1000.0,flow
1083,5459,okay,1000.0,flow,4000.0,flow
1084,5459,high,4000.0,flow,,
1088,5464,low,,,500.0,flow
1089,5464,okay,500.0,flow,4000.0,flow
1090,5464,high,4000.0,flow,,
1091,5465,low,,,250.0,flow
1092,5465,okay,250.0,flow,500.0,flow
1093,5465,high,500.0,flow,,
1094,5466,low,,,1000.0,flow
1095,5466,okay,1000.0,flow,10000.0,flow
1096,5466,high,10000.0,flow,,
1097,5471,low,,,500.0,flow
1098,5471,okay,500.0,flow,5000.0,flow
1099,5471,high,5000.0,flow,,
1109,5477,low,,,2000.0,flow
1110,5477,okay,2000.0,flow,6000.0,flow
1111,5477,high,6000.0,flow,,
1112,5479,low,,,500.0,flow
1113,5479,okay,500.0,flow,1500.0,flow
1114,5479,high,1500.0,flow,,
1118,5482,low,,,700.0,flow
1119,5482,okay,700.0,flow,3500.0,flow
1120,5482,high,3500.0,flow,,
1121,5486,low,,,400.0,flow
1122,5486,okay,400.0,flow,3000.0,flow
1123,5486,high,3000.0,flow,,
1124,5487,low,,,1500.0,flow
1125,5487,okay,1500.0,flow,4000.0,flow
1126,5487,high,4000.0,flow,,
1127,5488,low,,,300.0,flow
1128,5488,okay,300.0,flow,1500.0,flow
1129,5488,high,1500.0,flow,,
1130,5489,low,,,2500.0,flow
1131,5489,okay,2500.0,flow,8000.0,flow
1132,5489,high,8000.0,flow,,
1133,5490,low,,,500.0,flow
1134,5490,okay,500.0,flow,2000.0,flow
1135,5490,high,2000.0,flow,,
1136,5491,low,,,250.0,flow
1137,5491,okay,250.0,flow,1000.0,flow
1138,5491,high,1000.0,flow,,
1139,5493,low,,,2000.0,flow
1140,5493,okay,2000.0,flow,8000.0,flow
1141,5493,high,8000.0,flow,,
1151,5501,low,,,1100.0,flow
1152,5501,okay,1100.0,flow,4000.0,flow
1153,5501,high,4000.0,flow,,
1154,5502,low,,,2000.0,flow
1155,5502,okay,2000.0,flow,12000.0,flow
1156,5502,high,12000.0,flow,,
1160,5504,low,,,500.0,flow
1161,5504,okay,500.0,flow,2000.0,flow
1162,5504,high,2000.0,flow,,
1163,5506,low,,,400.0,flow
1164,5506,okay,400.0,flow,2000.0,flow
1165,5506,high,2000.0,flow,,
1166,5510,low,,,900.0,flow
1167,5510,okay,900.0,flow,7000.0,flow
1168,5510,high,7000.0,flow,,
1169,5515,low,,,200.0,flow
1170,5515,okay,200.0,flow,10000.0,flow
1171,5515,high,10000.0,flow,,
1172,5516,low,,,200.0,flow
1173,5516,okay,200.0,flow,1500.0,flow
1174,5516,high,1500.0,flow,,
1175,5517,low,,,700.0,flow
1176,5517,okay,700.0,flow,3000.0,flow
1177,5517,high,3000.0,flow,,
1181,5519,low,,,500.0,flow
1182,5519,okay,500.0,flow,1500.0,flow
1183,5519,high,1500.0,flow,,
1184,5520,low,,,1000.0,flow
1185,5520,okay,1000.0,flow,2500.0,flow
1186,5520,high,2500.0,flow,,
1187,5521,low,,,2000.0,flow
1188,5521,okay,2000.0,flow,5000.0,flow
1189,5521,high,5000.0,flow,,
1193,5525,low,,,400.0,flow
1194,5525,okay,400.0,flow,2000.0,flow
1195,5525,high,2000.0,flow,,
1196,5529,low,,,800.0,flow
1197,5529,okay,800.0,flow,2000.0,flow
1198,5529,high,2000.0,flow,,
1202,5532,low,,,1000.0,flow
1203,5532,okay,1000.0,flow,4000.0,flow
1204,5532,high,4000.0,flow,,
1205,5535,low,,,2000.0,flow
1206,5535,okay,2000.0,flow,5000.0,flow
1207,5535,high,5000.0,flow,,
1208,5536,low,,,2500.0,flow
1209,5536,okay,2500.0,flow,6000.0,flow
1210,5536,high,6000.0,flow,,
1211,5537,low,,,800.0,flow
1212,5537,okay,800.0,flow,2000.0,flow
1213,5537,high,2000.0,flow,,
1214,5538,low,,,1000.0,flow
1215,5538,okay,1000.0,flow,5000.0,flow
1216,5538,high,5000.0,flow,,
1217,5539,low,,,1000.0,flow
1218,5539,okay,1000.0,flow,2500.0,flow
1219,5539,high,2500.0,flow,,
1223,5542,low,,,1500.0,flow
1224,5542,okay,1500.0,flow,10000.0,flow
1225,5542,high,10000.0,flow,,
1226,5543,low,,,2500.0,flow
1227,5543,okay,2500.0,flow,5000.0,flow
1228,5543,high,5000.0,flow,,
1229,5544,low,,,600.0,flow
1230,5544,okay,600.0,flow,6000.0,flow
1231,5544,high,6000.0,flow,,
1232,5545,low,,,600.0,flow
1233,5545,okay,600.0,flow,5000.0,flow
1234,5545,high,5000.0,flow,,
1235,5546,low,,,4000.0,flow
1236,5546,okay,4000.0,flow,10000.0,flow
1237,5546,high,10000.0,flow,,
